xpos,error
-0.98,0.03608640248
-1,0.03636363636
-0.97,0.03593861018
-0.99,0.03622817462
-0.95,0.03562645266
-0.96,0.03578515803
-0.94,0.03577624838
-0.93,0.03592092788
-0.92,0.03606037108
-0.9,0.03633050658
-0.91,0.03619448201
-0.89,0.03616541449
-0.88,0.03599605855
-0.87,0.03582274938
-0.86,0.03564581904
-0.85,0.03546560995
-0.82,0.0359072968
-0.83,0.03576382329
-0.84,0.03561654168
-0.81,0.03606275278
-0.8,0.03621456243
-0.79,0.03603515315
-0.78,0.03585289066
-0.77,0.03566800488
-0.75,0.03529140261
-0.76,0.03548075191
-0.74,0.03546286426
-0.73,0.03564060994
-0.72,0.0358161259
-0.71,0.03598925611
-0.7,0.03615987541
-0.69,0.03597512912
-0.68,0.03578840093
-0.67,0.03561859412
-0.66,0.03544696233
-0.65,0.0352737246
-0.62,0.03588975358
-0.63,0.0356785848
-0.64,0.03547662253
-0.61,0.0361104329
-0.6,0.03633033191
-0.58,0.03600021528
-0.59,0.03616613702
-0.57,0.03585491441
-0.55,0.03555940384
-0.56,0.03570791574
-0.54,0.03582912701
-0.53,0.03611221173
-0.52,0.03639692382
-0.51,0.03670904824
-0.5,0.03703703704
-0.49,0.03753607188
-0.47,0.03856646857
-0.48,0.03804575178
-0.46,0.03909867541
-0.45,0.03964288155
-0.44,0.04075591791
-0.43,0.04193002173
-0.42,0.04317016941
-0.41,0.04448192748
-0.4,0.04587155963
-0.39,0.04661805754
-0.38,0.04738518182
-0.37,0.04817388038
-0.35,0.04982040539
-0.36,0.04898522455
-0.34,0.05161471741
-0.33,0.05353853062
-0.32,0.05560608347
-0.31,0.05783383859
-0.3,0.06024096386
-0.29,0.06149778369
-0.28,0.06280232291
-0.27,0.06415750699
-0.26,0.06556661588
-0.25,0.06703330003
-0.24,0.07036473664
-0.23,0.0740376555
-0.22,0.07810682855
-0.21,0.08263951538
-0.19,0.09033016687
-0.18,0.09309270392
-0.2,0.08771929825
-0.17,0.09602086589
-0.16,0.09913059203
-0.14,0.1105252866
-0.15,0.1024400881
-0.13,0.1199845978
-0.12,0.1311994979
-0.11,0.1447073555
-0.1,0.1612903226
-0.09,0.1700680272
-0.08,0.1798561151
-0.07,0.1908396947
-0.06,0.2032520325
-0.05,0.2173913043
-0.04,0.2577319588
-0.03,0.3164556962
-0.02,0.4098360656
-0.01,0.5813953488
8.88E-16,1
0.01,0.5813953488
0.03,0.3164556962
0.02,0.4098360656
0.04,0.2577319588
0.05,0.2173913043
0.06,0.2032520325
0.07,0.1908396947
0.08,0.1798561151
0.09,0.1700680272
0.1,0.1612903226
0.11,0.1445086705
0.12,0.1308900524
0.13,0.1196172249
0.14,0.1101321586
0.15,0.1020408163
0.16,0.09861932939
0.17,0.09541984733
0.18,0.09242144177
0.19,0.08960573477
0.2,0.08695652174
0.21,0.08183306056
0.22,0.0772797527
0.24,0.06954102921
0.23,0.07320644217
0.25,0.06622516556
0.26,0.06468305304
0.27,0.06321112516
0.28,0.06180469716
0.29,0.06045949214
0.3,0.05917159763
0.31,0.05675368899
0.32,0.05452562704
0.33,0.05246589717
0.35,0.0487804878
0.36,0.04789272031
0.34,0.05055611729
0.37,0.04703668862
0.38,0.04621072089
0.39,0.04541326067
0.4,0.04464285714
0.41,0.04325259516
0.42,0.04194630872
0.43,0.04071661238
0.44,0.03955696203
0.45,0.03846153846
0.46,0.03787878788
0.47,0.03731343284
0.48,0.03676470588
0.49,0.03623188406
0.5,0.03571428571
0.51,0.03612716763
0.52,0.0365497076
0.53,0.03698224852
0.54,0.0374251497
0.55,0.03787878788
0.56,0.0387897595
0.58,0.04074979625
0.57,0.03974562798
0.59,0.04180602007
0.6,0.04291845494
0.61,0.04355400697
0.63,0.04488330341
0.62,0.0442086649
0.64,0.04557885141
0.65,0.0462962963
0.66,0.04766444233
0.67,0.04911591356
0.68,0.0506585613
0.69,0.05230125523
0.7,0.05405405405
0.72,0.05624296963
0.71,0.05512679162
0.73,0.05740528129
0.74,0.05861664713
0.75,0.05988023952
0.76,0.06218905473
0.77,0.06468305304
0.78,0.06738544474
0.79,0.07032348805
0.8,0.07352941176
0.81,0.0756429652
0.82,0.07788161994
0.83,0.08025682183
0.85,0.08547008547
0.84,0.08278145695
0.86,0.09025270758
0.87,0.09560229446
0.88,0.1016260163
0.89,0.1084598698
0.9,0.1162790698
0.91,0.1219512195
0.92,0.1282051282
0.93,0.1351351351
0.94,0.1428571429
0.95,0.1515151515
0.96,0.1672240803
0.98,0.2109704641
0.97,0.1865671642
0.99,0.2427184466
1.01,0.2427184466
1,0.2857142857
1.02,0.2109704641
1.03,0.1865671642
1.04,0.1672240803
1.05,0.1515151515
1.06,0.1424501425
1.07,0.1344086022
1.08,0.1272264631
1.09,0.1207729469
1.1,0.1149425287
1.11,0.1072961373
1.12,0.1006036217
1.13,0.0946969697
1.14,0.08944543828
1.15,0.08474576271
1.16,0.08169934641
1.17,0.07886435331
1.18,0.0762195122
1.19,0.07374631268
1.2,0.07142857143
1.21,0.0683994528
1.22,0.0656167979
1.23,0.0630517024
1.24,0.06067961165
1.25,0.05847953216
1.26,0.0569476082
1.27,0.05549389567
1.28,0.05411255411
1.29,0.05279831045
1.3,0.05154639175
1.32,0.0484496124
1.31,0.04995004995
1.33,0.04703668862
1.34,0.04570383912
1.35,0.04444444444
1.36,0.04351610096
1.37,0.04262574595
1.38,0.0417710944
1.39,0.04095004095
1.4,0.04016064257
1.41,0.03918495298
1.42,0.03825554705
1.43,0.03736920777
1.44,0.0365230095
1.45,0.03571428571
1.46,0.0350877193
1.47,0.03448275862
1.48,0.03389830508
1.49,0.03333333333
1.5,0.03278688525
1.51,0.0325732899
1.52,0.03236245955
1.53,0.03215434084
1.54,0.03194888179
1.55,0.03174603175
1.56,0.03164556962
1.57,0.03154574132
1.58,0.03144654088
1.59,0.03134796238
1.6,0.03125
1.61,0.03107520199
1.62,0.03090234858
1.63,0.0307314075
1.64,0.03056234719
1.65,0.03039513678
1.66,0.0303030303
1.67,0.03021148036
1.68,0.03012048193
1.69,0.03003003003
1.7,0.02994011976
1.71,0.02979737783
1.72,0.02965599051
1.73,0.02951593861
1.74,0.02937720329
1.75,0.02923976608
1.76,0.02915451895
1.77,0.02906976744
1.78,0.02898550725
1.79,0.0289017341
1.8,0.0288184438
1.81,0.02870264064
1.82,0.02858776444
1.83,0.0284738041
1.84,0.02836074872
1.85,0.02824858757
1.86,0.02816901408
1.87,0.02808988764
1.88,0.02801120448
1.89,0.02793296089
1.9,0.0278551532
1.91,0.02776235425
1.92,0.02767017156
1.94,0.02748763057
1.93,0.02757859901
1.95,0.02739726027
1.96,0.02732240437
1.97,0.0272479564
1.98,0.02717391304
1.99,0.027100271
2,0.02702702703
2.01,0.02665245203
2.02,0.02628811777
2.03,0.02593360996
2.04,0.02558853634
2.05,0.02525252525
