elitism,scan110,scan64,scan2,average
0.05,5.460829432,10.12465615,12.53227798,9.372587853
0.1,5.288734438,9.734386996,11.20130777,8.741476403
0.15,4.946939603,5.800022734,9.963562896,6.903508411
0.2,4.101376751,5.485602039,8.733888444,6.106955744
0.25,2.724693992,5.935354003,8.060715576,5.573587857
0.3,3.870314157,5.494669546,7.746688257,5.703890653
0.35,3.876507401,4.000238929,9.521878819,5.799541716
0.4,1.692577835,4.788069903,11.35070396,5.943783898
0.45,2.909514695,4.887158949,12.06080206,6.619158568
0.5,1.372646162,4.871927775,8.745352514,4.99664215
0.55,2.497789233,2.165297369,9.02783608,4.563640894
0.6,0.901320071,4.772558273,9.878174321,5.184017555
0.65,2.414507818,4.009642849,9.654316745,5.359489137
0.7,1.086565118,3.200252025,8.991801309,4.426206151
0.75,1.893644143,2.850676116,9.55190847,4.765409576
0.8,1.682759553,1.827483498,12.99536791,5.50187032
0.85,1.584495887,1.918254217,8.61137777,4.038042624
0.9,2.583059188,2.448110376,9.870575745,4.967248436
0.95,0.650388477,2.152661401,7.793008133,3.532019337
1,2.712561261,4.550895955,9.804818145,5.68942512
