grid	icp
0.111046	1.506706
0.280381	15.30754
0.58369	1.52305
0.760886	1.701663
1.080599	1.433293
7.427888	1.695831
0.111631	10.1164
0.080369	11.81563
0.032368	9.256706
0.036356	0.030321
0.047294	6.597879
0.265588	2.505358
1.00223	0.076721
0.008948	0.197372
0.388146	0.064964
0.365374	31.24331
0.127062	0.07027
0.044724	4.976272
0.196038	6.12528
0.094692	0.223105
0.882626	68.64869
0.767408	0.071292
0.132034	0.15166
0.242722	4.408086
0.970663	0.006145
604.8601	32.04662
0.92204	0.189885
0.527765	18.52792
0.203703	1.52942
1.143061	8.217774
0.008125	2.477076
0.01835	0.734847
0.019017	0.085037
0.03878	4.627552
0.056518	4.829397
0.075857	1.234361
0.077945	1.388014
0.134972	0.596513
0.13531	13.66532
0.13603	3.470778
0.152032	0.104153
0.14687	9.019551
0.159133	0.004237
0.16413	5.223933
0.192153	16.89662
0.193828	1.633818
0.213216	0.360022
0.332996	0.627094
0.334045	1.252242
0.369375	5.571195
0.390389	38.40766
0.67696	0.121765
0.751494	0.030417
0.744004	15.35269
0.850596	6.255852
0.854869	1.502606
0.914572	1.903057
23.09057	8.798495
108.5267	0.069445
672.0761	1.548098
0.018729	0.540841
0.020509	1.484922
0.028636	0.112616
0.032417	0.056172
0.041377	0.007233
0.042253	1.657564
0.05115	0.100123
0.071886	0.089518
0.074156	1.180033
0.122259	1.473493
0.141606	5.331087
0.140553	0.02135
0.16221	1.768111
0.186793	9.657725
0.20253	9.983399
0.204173	0.291316
0.24358	1.592053
0.246341	23.47051
0.27481	0.07014
0.32091	0.026945
0.368534	5.884734
0.404446	0.024537
0.444768	0.061157
0.481524	0.001034
0.61037	0.849072
0.749201	0.087416
1.043289	0.194713
1.407533	15.37709
1.933071	0.006144
31.52615	0.123896
0.002457	2.45619
0.002389	1.916989
0.007137	23.58898
0.011414	0.099094
0.044045	14.79674
0.04946	2.275843
0.05237	3.417908
0.099426	2.897818
0.121677	0.141043
0.140394	15.53326
0.143743	0.004614
0.14836	5.574263
0.166535	0.674854
0.192412	4.300277
0.255046	0.139727
0.319988	0.576195
0.33105	0.007574
0.335726	0.048044
0.361029	1.144581
0.401935	5.931781
0.442192	5.512264
0.475161	0.183811
0.536672	0.907975
0.771592	0.048773
0.884701	0.077898
0.991156	0.190021
1.208356	0.006748
1.423103	2.461155
323.1477	1.684389
329.0347	11.14686
0.542082	0.11626
0.010578	0.014056
0.53292	0.00657
1.153885	0.013285
1.263092	0.00833
8.386155	0.200508
0.269951	0.123164
0.745391	3.963015
2.238724	3.10159
3.31838	9.746783
0.151313	10.05781
0.32513	0.053795
0.625318	0.29253
0.0124	0.053512
0.112826	14.31418
0.300405	2.01632
0.990371	0.092197
1.189587	5.995395
1.500628	1.425031
2.030844	0.339125
0.017044	0.051758
0.542285	2.403255
0.776529	0.648551
1.181453	0.506938
5.161317	0.292046
0.085988	13.53288
0.342454	1.259396
3.512498	11.20583
0.092652	1.555086
0.632666	0.792883
0.651834	0.075936
0.003748	12.39554
0.010778	0.518969
0.01462	11.51945
0.060158	10.28718
0.201357	0.268697
0.819752	10.51644
1.725447	2.806209
12.33912	3.558522
0.722915	4.970336
2.061234	9.157548
7.162427	0.004934
11.27292	1.148697
0.031827	12.7796
0.051315	0.116094
0.284681	0.225736
0.327201	2.747355
0.506498	1.903009
0.588885	2.260511
1.098784	3.348802
1.935136	2.01089
0.061504	0.070851
0.328876	0.083967
0.349462	11.2206
0.598099	5.232837
0.187132	0.085168
0.198284	0.077409
0.258587	0.073821
3.598859	1.980586
5.607035	47.56488
2.081798	1.277332
7.19747	2.771183
18.71896	2.122987
0.066588	1.327213
0.231791	0.684251
0.344704	0.007288
0.378993	4.957549
1.648493	0.612127
22.26814	0.503325
0.033396	2.697187
0.041707	0.005324
0.476629	3.344359
0.617943	0.241471
0.376434	2.496238
0.464317	1.808347
0.743192	0.013032
0.80868	11.40877
1.867883	0.085397
0.02892	0.004619
0.165156	1.072155
2.103053	11.98121
2.406707	0.220965
18.6967	0.008506
0.753917	1.719655
0.217252	2.022406
0.216909	5.45971
0.799667	1.390767
2.853295	44.50144
4.270744	1.818445
346.1787	1.352505
0.584663	15.7215
0.713397	1.095675
0.793426	12.79075
0.844409	0.006895
0.945117	0.192378
1.03262	0.065781
1.020131	1.21353
0.998449	4.864733
1.669767	9.21802
1.875731	1.331038
1.871771	0.075743
1.802837	0.163233
2.188816	12.56903
2.190319	15.5027
2.011408	1.097224
2.467896	1.013414
3.328617	0.02917
3.74433	0.026385
3.656693	16.47582
4.082235	1.172019
4.539698	0.045927
4.638288	1.219272
6.008276	5.025794
8.688085	7.50204
12.10962	0.01295
12.12435	24.84126
15.15317	2.148323
161.6211	0.034584
289.9403	0.178983
274.361	0.244269
0.131997	1.424177
0.297003	0.856255
3.508735	1.135863
3.610511	0.087967
10.75548	3.618052
10.15032	0.071363
1.102638	0.203669
2.435556	0.09069
3.275872	0.083899
0.160903	7.988146
0.247904	0.68507
0.566808	1.437299
0.899655	0.005799
6.771537	0.100377
11.51736	0.039143
14.68567	0.064841
0.076182	5.449349
0.117481	7.24203
0.224078	11.58877
2.073302	25.79158
5.362481	0.066271
8.548946	0.194399
11.76397	2.788503
0.021285	0.556769
0.350483	4.524226
0.437885	0.528491
1.051999	0.207647
1.485023	0.006097
2.072243	0.816129
4.571073	0.0532
190.9409	0.114422
0.045264	2.240508
0.248302	1.370603
1.046989	0.810262
0.054288	0.006501
0.071939	2.465487
0.664389	0.175275
0.815853	5.666775
0.813354	0.162066
1.605034	0.220509
428.8043	0.041345
0.486382	12.21534
1.400199	9.427222
1.55367	2.803469
2.163607	0.863673
3.803623	9.626747
13.50146	0.04834
210.151	1.239283
0.118536	0.063616
0.93916	0.075389
5.78874	0.084505
114.2612	11.88166
0.14037	0.251446
0.267659	7.631302
0.647731	0.083623
0.812865	1.386156
1.387051	15.23948
1.817605	3.129082
