bucket, grid_errortime, rand_errortime, grid_error, rand_error
5-10,16.22396125,58.50928357,2.036341904,2.984316323
10-15,30.05922863,53.48375826,2.107871599,2.398052701
15-20,25.11242653,38.90722726,1.445782685,2.155739297
20-25,26.66908271,28.58778501,1.249425036,2.120628444
25-30,15.58982995,66.65851944,0.546024597,2.215803183
30-35,16.97506886,85.51494396,0.532171161,2.163218384
35-40,15.97185149,60.19008369,0.433529314,2.060832574
40-45,1.754491629,105.1549159,0.041462898,2.142210021
45-50,10.87829145,135.8779954,0.220101067,2.034184388
50-55,12.31567954,119.3123005,0.242398099,1.739561852
55-60,4.726643888,109.4904479,0.080218119,1.453770204
>60,25.47860317,60.57768032,0.403626082,0.974399436
